url,tanggal,judul,kabupaten
https://jatim.liputan6.com/read/4867530/pesona-bukit-jaddih-tebing-kapur-dengan-danau-biru-yang-cantik-di-madura,1/24/2022,"Pesona Bukit Jaddih, Tebing Kapur dengan Danau Biru yang Cantik di Madura",Bangkalan
https://www.tribunnewswiki.com/2022/02/03/pantai-siring-kemuning,2/3/2022,Pantai Siring Kemuning,Bangkalan
https://jatim.liputan6.com/read/4981538/pesona-pantai-siring-kemuning-dengan-suasana-yang-indah-dan-memukau,6/8/2022,Pesona Pantai Siring Kemuning Dengan Suasana yang Indah dan Memukau,Bangkalan
https://radarsolo.jawapos.com/wisata-kuliner/13/07/2022/dulu-tempat-sampah-kini-pantai-biru-bangkalan-jadi-destinasi-andalan/,7/13/2022,"Dulu Tempat Sampah, Kini Pantai Biru Bangkalan Jadi Destinasi Andalan",Bangkalan
https://tribunjatimtravel.tribunnews.com/2022/08/21/wisatawan-ramai-kunjungi-wisata-bukit-jaddih-di-bangkalan-madura,8/21/2022,Wisatawan Ramai Kunjungi Wisata Bukit Jaddih di Bangkalan Madura,Bangkalan
https://surabaya.tribunnews.com/2022/08/21/tidak-ada-lagi-pungli-di-wisata-alam-bukit-jaddih-bangkalan-pengunjung-akui-makin-nyaman,8/21/2022,"Tidak Ada Lagi Pungli di Wisata Alam Bukit Jaddih Bangkalan, Pengunjung Akui Makin Nyaman",Bangkalan
https://madura.tribunnews.com/2022/09/11/peserta-lomba-renang-pelajar-di-wisata-alam-bukit-jaddih-membeludak-dispora-bangkalan-batasi-kuota,9/11/2022,"Peserta Lomba Renang Pelajar di Wisata Alam Bukit Jaddih Membeludak, Dispora Bangkalan Batasi Kuota",Bangkalan
https://www.detik.com/jatim/wisata/d-5942628/monumen-arek-lancor-di-pamekasan-tak-pernah-absen-dipadati-pengunjung,2/15/2022,Monumen Arek Lancor di Pamekasan Tak Pernah Absen Dipadati Pengunjung,Pamekasan
https://surabaya.kompas.com/read/2022/04/06/054300478/sejarah-masjid-agung-assyuhada-pamekasan-simbol-perjuangan-mujahid-perang?page=all,4/6/2022,"Sejarah Masjid Agung Assyuhada Pamekasan, Simbol Perjuangan Mujahid Perang",Pamekasan
https://suryamalang.tribunnews.com/2022/05/03/pengunjung-wisata-di-pantai-talang-siring-dan-jumiang-meningkat-polres-pamekasan-gelar-operasi,5/3/2022,"Pengunjung Wisata di Pantai Talang Siring dan Jumiang Meningkat, Polres Pamekasan Gelar Operasi",Pamekasan
https://jatim.tribunnews.com/2022/05/07/pantai-talang-siring-pamekasan-jadi-tempat-favorit-berlibur-bareng-keluarga,5/7/2022,Pantai Talang Siring Pamekasan Jadi Tempat Favorit Berlibur Bareng Keluarga,Pamekasan
https://www.tribunnewswiki.com/2022/05/14/pantai-jumiang,5/14/2022,Pantai Jumiang,Pamekasan
https://www.tribunnewswiki.com/2022/05/16/pantai-talang-siring,5/16/2022,Pantai Talang Siring,Pamekasan
https://maduraraya.jurnalisindonesia.id/read/99767/Pasarean-Joko-Tarub-Destinasi-Wisata-Religi-di-Kabupaten-Pamekasan-yang-Sarat-Akan-Nilai-Sejarah,7/25/2022,"Pasarean Joko Tarub, Destinasi Wisata Religi di Kabupaten Pamekasan yang Sarat Akan Nilai Sejarah",Pamekasan
https://www.indozone.id/travel/6gspO97/viral-api-abadi-pamekasan-bikin-warga-penasaran-suka-dipakai-masak-nasi-dan-bakar-jagung,8/15/2022,"Viral Api Abadi Pamekasan Bikin Warga Penasaran, Suka Dipakai Masak Nasi dan Bakar Jagung",Pamekasan
https://www.idntimes.com/travel/destination/ratna-herlina/info-wisata-pantai-jumiang-pamekasan-c1c2?page=all,9/12/2022,"Info Wisata Pantai Jumiang Pamekasan: Lokasi, Rute, dan Aktivitas",Pamekasan
https://www.indozone.id/travel/AqsAMeB/enggak-kalah-sama-kota-batu-pamekasan-punya-bukit-kehi-panoramanya-bikin-malas-pulang/read-all,9/19/2022,"Enggak Kalah Sama Kota Batu! Pamekasan Punya Bukit Kehi, Panoramanya Bikin Malas Pulang",Pamekasan
https://jatim.tribunnews.com/2022/04/01/masjid-agung-sampang-mulai-siapkan-pelaksanaan-salat-tarawih,4/1/2022,Masjid Agung Sampang Mulai Siapkan Pelaksanaan Salat Tarawih,Sampang
https://travel.detik.com/domestic-destination/d-6023311/ini-pantai-camplong-favorit-ngabuburit-anak-muda-sampang,4/8/2022,"Ini Pantai Camplong, Favorit Ngabuburit Anak Muda Sampang",Sampang
https://rri.co.id/sumenep/1141-religi/1424493galap-berkah-ramadhan-di-makam-aji-gunung,4/15/2022,Ngalap Berkah Ramadan di Makam Aji Gunung,Sampang
https://surabaya.tribunnews.com/2022/05/05/pengunjung-wisata-pantai-camplong-sampang-membludak-personel-gabungan-beri-pengamanan-ekstra,5/5/2022,"Pengunjung Wisata Pantai Camplong Sampang Membeludak, Personel Gabungan Beri Pengamanan Ekstra",Sampang
https://www.detik.com/jatim/wisata/d-6065493/pengunjung-pantai-camplong-sampang-membeludak-satpolair-dirikan-posko-sar,5/6/2022,"Pengunjung Pantai Camplong Sampang Membeludak, Satpolair Dirikan Posko SAR",Sampang
https://www.tribunnewswiki.com/2022/05/13/pantai-camplong,5/13/2022,Pantai Camplong,Sampang
https://www.indozone.id/travel/YvsP5xR/air-terjun-terindah-di-pulau-garam-menyimpan-legenda-pasutri-yang-cekcok-hingga-mati/read-all,5/31/2022,Air Terjun Terindah di Pulau Garam Menyimpan Legenda Pasutri yang Cekcok hingga Mati,Sampang
